id,externalId,ExternalArticleSource,createdDate,isOffline,lastModified,lastModifier,title,body,phrasings,labels,statistics/likes,statistics/dislikes
1755806642,,,2021-11-08 14:10:32,false,2023-12-14 19:01:02,Mark Westhorpe,Do you pay tax on your Growth Bonds when they mature?,"{""content"":""It all depends on how much interest you earn in total and what rate of tax you pay.The interest you earn on most savings will count towards your taxable income, but this doesn't mean you'll have to pay tax on it.The interest is taxable but will be paid gross (without tax deducted), in the tax year your Bond matures. You can find more information by selecting the link below:"",""options"":{""Tax on savings"":""https://www.nsandi.com/help/manage-your-savings/tax-on-savings""}}","[""{\""text\"":\""Do you pay tax when you cash in a guaranteed growth bond?\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""Are Growth Bonds interest rate tax-free?\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""Do you pay tax on your Growth Bonds when they mature?\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""5E3F839A"",""name"":""Product info request""},{""id"":""7B51DF28"",""name"":""guaranteed bond trial""}]",2,2
1964106722,,,2023-02-01 12:37:09,true,2023-12-14 19:02:52,Mark Westhorpe,What interest rate does the Guaranteed Income Bonds have? ,"{""content"":""Our new issue 72 Guaranteed Income Bond on sale is 6.03% gross/6.20% AER and this is fixed for 1 year. If you already have an existing Guaranteed Income Bond with us you can renew it at maturity. Would you like to know the rates for the 2-, 3- and 5-year Bonds?"",""options"":{""2-year Bond"":""The 2-year term is 5.65% gross/5.80% AER and is only available to customers renewing a maturing Bond."",""3-year Bond"":""The 3-year term is 5.65% gross/5.80% AER and is only available to customers renewing a maturing Bond."",""5-year Bond"":""The 5-year term is 5.37% gross/5.50% AER and is only available to customers renewing a maturing Bond.""}}","[""{\""text\"":\""What interest rate does the Guaranteed Income Bonds have? \"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""78C5C166"",""name"":""Interest Rates""},{""id"":""7B51DF28"",""name"":""guaranteed bond trial""}]",1,1
2068940022,,,2023-09-06 13:32:17,true,2023-12-14 19:03:30,Mark Westhorpe,Can I transfer my investment into a Guaranteed Bond ,"{""content"":""You can switch existing investments with NS&I in to a Guaranteed Growth or Income  Bond by filling in a switching form. The minimum you can switch in to a Guaranteed Bond is £500."",""options"":{""Application to switch to a Guaranteed Income Bond"":""https://www.nsandi.com/files/asset/pdf/guaranteed-income-bonds-switching-form.pdf"",""Application to switch to a Guaranteed Growth Bond"":""https://www.nsandi.com/files/asset/pdf/guaranteed-growth-bonds-switching-form.pdf""}}","[""{\""text\"":\""Can I transfer my investment into a Guaranteed Bond \"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""switching form guaranteed\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""7B51DF28"",""name"":""guaranteed bond trial""}]",,
2068944312,,,2023-09-06 13:51:47,true,2023-12-14 19:03:40,Mark Westhorpe,Form to switch to a Guaranteed Income Bonds,"{""content"":""You can switch existing investments with NS&I in to a Guaranteed Income Bond by filling in a switching form. The minimum you can switch in to a Guaranteed Income Bond is £500."",""options"":{""Application to switch to a Guaranteed Income Bond"":""https://www.nsandi.com/files/asset/pdf/guaranteed-income-bonds-switching-form.pdf""}}","[""{\""text\"":\""Form to switch to a Guaranteed Income Bonds\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""7B51DF28"",""name"":""guaranteed bond trial""}]",,
2068946092,,,2023-09-06 13:58:30,true,2023-12-14 19:04:45,Mark Westhorpe,Form to switch to a Guaranteed Growth Bond,"{""content"":""You can switch existing investments with NS&I in to a Guaranteed Growth Bond by filling in a switching form. The minimum you can switch in to a Guaranteed Growth Bond is £500."",""options"":{""Application to switch to a Guaranteed Growth Bond"":""https://www.nsandi.com/files/asset/pdf/guaranteed-growth-bonds-switching-form.pdf""}}","[""{\""text\"":\""Form to switch to a Guaranteed Growth Bond\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""7B51DF28"",""name"":""guaranteed bond trial""}]",,
1600788592,,,2021-01-04 12:17:12,false,2023-12-14 19:13:54,Mark Westhorpe,I need to reset my password,"{""content"":""Don't worry if you've forgotten you're password, you can easily reset this online.\n\nYou'll just need your 11-digit NS&I number to hand. This will start with either 11, 21, 31 or 41 and your surname.\n\nAlso, you'll need to have your phone available as you'll receive an automated call. Just click the link below to get started:"",""options"":{""Forgotten my password"":""https://secure.nsandi.com/thc/projectuk01-common-b2c/pages/passwordResetB2CSelect01.jsf?chainingAction=true&WTRS=ZYCUPR&sec\\_token=GETJ-UXTN-PO8A-GE10-TEI0-X2OL-VGUE-SB18""}}","[""{\""text\"":\""I need to reset my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I don't know my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I have forgotten my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I've lost my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""How can I get a reminder of my password?\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""My password is suspended\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I have just changed my password but I am being locked out\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I can't remember my password to log in to my online account\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I can not remember my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""It won't let me reset my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""5F6A1866"",""name"":""Security and passwords""}]",1050,699
1600788792,,,2021-01-04 12:17:12,true,2023-12-14 19:15:59,Mark Westhorpe,I have tried to reset my password but the call back is not working,"{""content"":""If you're having trouble resetting your password or your phone numbers are now out of date, please call us on 08085 007 007 so we can help you further. We're open from 8am until 8pm Monday to Friday and 8am to 6pm Saturday and Sunday.\n\n  \nYou can also request us to post you a new temporary password by completing our simple online form below"",""options"":{""Recover security details"":""https://forms.nsandi.com/gateway/online-forms/index#/form/recover""}}","[""{\""text\"":\""I have tried to reset my password but the call back is not working\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I haven't received a call to reset my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I am having trouble resetting my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""The system is stopping me from resetting my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""My phone can't be verified for your security check\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""Error message trying to update password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""Call back not working\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""Your system won’t allow me to sign in or reset my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""My phone isn’t ringing\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""no one is calling me!\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""5F6A1712"",""name"":""System issues""},{""id"":""5F6A1866"",""name"":""Security and passwords""}]",55,9
1600788702,,,2021-01-04 12:17:12,false,2023-12-14 19:16:30,Mark Westhorpe,I need help setting up my password,"{""content"":""Choosing a secure password is important. It helps us keep your account safe from fraudsters.\n\nWe have some simple rules for creating new passwords, which you can view below."",""options"":{""Creating a password"":""https://www.nsandi.com/help/join-nsandi/create-password""}}","[""{\""text\"":\""I cannot choose a password to register\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""The system won't accept my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I need help setting up my password\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""5F6A1866"",""name"":""Security and passwords""}]",22,22
1848947262,,,2022-06-09 08:25:24,false,2023-12-14 19:17:14,Mark Westhorpe,How many trusted devices can I add online?,"{""content"":""You can add up to 15 different browsers and up to 3 different apps online. Don't worry if you reach the maximum browser limit, we'll simply remove the oldest unused trusted one from your profile.You can manage your trusted devices by logging into your account online at nsandi.com, go to 'Your profile' and click on 'Your details' and scroll down to 'Your trusted devices'"",""options"":{""Log in"":""https://www.nsandi.com/login""}}","[""{\""text\"":\""How many trusted devices can I add online?\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""How do I update my browser with you?\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""How to remove devices from my account\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""6E34AFC8"",""name"":""2 Factor Authentication""}]",9,29
1600787122,,,2021-01-04 12:17:12,false,2023-12-14 19:19:44,Mark Westhorpe,It won't let me take money out of my account,"{""content"":""Are you having issues logging into your account or are you unable to withdraw money online?"",""options"":{"" Logging in"":{""content"":""To log into your account online, you'll need to use your 11-digit NS&I number that starts with 11, 21, 31 or 41, along with your surname and full password. You can log in online by clicking the button below: You can get a reminder of your NS&I number or reset your password below."",""options"":{""NS&I number reminder"":""https://secure3.nsandi.com/thc/projectuk01-common-b2c/pages/retrieveUciB2CSelect01.jsf?chainingAction=true&WTRS=ZYCR0A&CW\\_TOKEN=887I-TPNY-GRL1-YEZ1-AAQX-GIRL-CCGH-ZGX3"",""Reset your password"":""https://secure3.nsandi.com/thc/projectuk01-common-b2c/pages/passwordResetB2CSelect01.jsf?chainingAction=true&WTRS=ZYCUPR&CW\\_TOKEN=T83M-3PDY-F5GD-RT1W-Y4JE-E0X1-3BFV-MX4I""}},""Making a withdrawal"":{""content"":""Which product are you looking to withdraw from?"",""options"":{""Premium Bonds"":""If the payment is showing in your available balance, you can withdraw money straight to your bank account by selecting 'Cash in' online. If you are receiving any messages that may be preventing you from withdrawing money, or the 'Cash in' button isn't showing, please call us on 08085 007 007 so that we can look into this for you. We're open from 8am until 8pm Monday to Friday and 8am to 6pm Saturday and Sunday."",""Income Bonds"":""If the money is showing in your available balance, you can withdraw money by selecting 'Take money out' on your Income Bond page online. If you are receiving any messages that may be preventing you from doing this, you can call us on 08085 007 007 so that we can look into this for you. We're open from 8am until 8pm Monday to Friday and 8am to 6pm Saturday and Sunday."",""Direct Saver"":""If your money is showing in your available balance, you can complete your withdrawal online by selecting 'Take money out' on your Direct Saver page. If you are receiving any messages that may be preventing you from completing your withdrawal, please call us on 08085 007 007 so that we can look into this for you. We're open from 8am until 8pm Monday to Friday and 8am to 6pm Saturday and Sunday."",""Children's Bonds"":{""content"":""Have these Bonds matured?"",""options"":{""Yes"":{""content"":""Since our Children's Bonds are no longer on sale, the account would’ve been transferred to our Residual Account. This is where all of our off-sale products go to until the money has been claimed. You can withdraw your money by completing our online form below. It usually takes us up to 8 working days for us to make your payment."",""options"":{""Cash in Children’s Bonds"":""https://forms.nsandi.com/gateway/online-forms/index#/form/withdraw-children-bonds""}},""No"":""Please call us on 08085 007 007 so that we can look into this for you. We're open from 8am until 8pm Monday to Friday and 8am to 6pm Saturday and Sunday.""}},""Direct ISA"":""If your money is showing in your available balance, you can complete your withdrawal online by selecting 'Take money out' on your Direct ISA page. If you are receiving any messages that may be preventing you from doing this, please call us on 08085 007 007 so that we can look into this for you.We're open from 8am until 8pm Monday to Friday and 8am to 6pm Saturday and Sunday."",""Junior ISA"":""For this product, it won't be possible to withdraw money until you have turned 18."",""Index-linked Savings Certificates"":{""content"":""Did you last renew your certificate before or after 22 June 2023?"",""options"":{""Before"":""If your Certificate is about to mature and you want to give us your instructions, you can do this by selecting 'Maturity options' online. If you are withdrawing money before your Certificate has matured, please select 'Cash in'. If you are withdrawing money early, you will lose your Index-linking for the current year, and we’ll deduct a penalty equal to 90 days' interest on the amount you cash in."",""After"":""You can cancel your Certificate within 30 days of receiving your investment record. We'll then refund the full value of your Certificate with any interest and index-linking due. After the 30 days have passed, you will only be able to cash in your Certificate when it matures.""}},""Fixed Interest Savings Certificates"":{""content"":""Did you last renew your Certificate before or after 22 June 2023?"",""options"":{""Before"":""If your Certificate is about to mature and you want to give us your instructions, you can do this by selecting 'Maturity options' online. If you are withdrawing money before your Certificate has matured, please select 'Cash in'. If you are withdrawing money early, we’ll deduct a penalty equal to 90 days' interest on the amount you cash in"",""After"":""You can cancel your Certificate within 30 days of receiving your investment record. We'll then refund the full value of your Certificate with any interest due. After the 30 days have passed, you will only be able to cash in your Certificate when it matures.""}},""Guaranteed Growth Bonds"":{""content"":""Did your Bond last renew before or after 1 May 2019?"",""options"":{""Before"":""If your Bond is maturing shortly, you can provide your options by selecting 'Maturity options' once you have selected your product online. If you are withdrawing your money before your Bond has matured, please select 'Cash in'. You will pay a penalty that is equivalent of 90 days' interest on the amount you cash in."",""After"":""You can cancel your Bond within 30 days of you receiving your investment record. We'll then refund the full value of your Bond with any interest due. After the 30 days have passed, you will only be able to cash in your Bond at maturity as it's a fixed-term Bond.""}},""Guaranteed Income Bonds"":{""content"":""Did your Bond last renew before or after 1 May 2019?"",""options"":{""Before"":""If your Bond is maturing shortly, you can provide your options by selecting 'Maturity options' once you have selected your product online. If you are withdrawing your money before your Bond has matured, please select 'Cash in'. You will pay a penalty that is equivalent of 90 days' interest on the amount you cash in."",""After"":""You can cancel your Bond within 30 days of you receiving your investment record. We'll then refund the full value of your Bond with any interest due. After the 30 days have passed, you will only be able to cash in your Bond at maturity as it's a fixed-term Bond.""}},""Investment Account"":{""content"":""You can withdraw from your Investment Account by submitting an online withdrawal form. The form can be found here:"",""options"":{""Investment Account withdrawal form"":""https://forms.nsandi.com/gateway/online-forms/index#/form/withdraw-investment-account""}}}}}}","[""{\""text\"":\""Why can’t I access my money?\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I am unable to withdraw my money\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""It won't let me take money out of my account\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}"",""{\""text\"":\""I'm having trouble making a withdrawal\"",\""autoComplete\"":true,\""negativeSample\"":false,\""entitiesMeta\"":[]}""]","[{""id"":""5F6A1168"",""name"":""Money out""},{""id"":""5F6A1172"",""name"":""move money""},{""id"":""6EF6B834"",""name"":""INVAC""}]",97,39
